Year,China,Japan,Mexico,Canada,Germany,France,India,UK,Taiwan
1989,2.1,16.5,6.2,19.9,5,2.9,0.7,4.7,4.3
1990,2.3,15.6,6.6,19.7,5.3,3,0.6,4.9,3.8
1991,2.8,15.3,7.1,19.4,5.2,3.2,0.6,4.4,4
1992,3.4,14.8,7.7,19.3,5.1,3,0.6,4.4,4.1
1993,3.9,14.8,7.8,20.2,4.5,2.7,0.7,4.6,3.9
1994,4.1,14.7,8.5,20.7,4.3,2.6,0.6,4.4,3.7
1995,4.3,14.1,8.2,20.4,4.5,2.4,0.7,4.2,3.6
1996,4.5,12.9,9.2,20.4,4.4,2.3,0.7,4.2,3.4
1997,4.8,12,10.1,20.5,4.3,2.3,0.7,4.4,3.4
1998,5.4,11.3,10.9,20.7,4.8,2.6,0.7,4.6,3.2
1999,5.5,10.9,11.4,21.2,4.8,2.6,0.7,4.5,3.2
2000,5.8,10.6,12.4,20.5,4.4,2.5,0.7,4.2,3.2
2001,6.5,9.8,12.4,20.3,4.8,2.7,0.7,4.4,2.8
2002,7.9,9.3,12.5,20,4.8,2.5,0.9,4,2.7
2003,9.1,8.6,11.9,19.8,4.9,2.3,0.9,3.9,2.5
2004,10.1,8,11.7,19.5,4.8,2.3,0.9,3.6,2.5
2005,11.1,7.5,11.3,19.5,4.6,2.2,1,3.5,2.2
2006,11.9,7.2,11.5,18.5,4.5,2.1,1.1,3.4,2.1
2007,12.4,6.7,11.2,18.2,4.6,2.2,1.3,3.4,2.1
2008,12,6,10.8,17.7,4.5,2.1,1.3,3.3,1.8
2009,14,5.6,11.7,16.5,4.4,2.3,1.4,3.6,1.8
2010,14.3,5.7,12.3,16.5,4.1,2,1.5,3.1,1.9
2011,13.6,5.3,12.5,16.2,4,1.8,1.6,2.9,1.8
2012,14,5.7,12.9,16.1,4.1,1.9,1.6,2.9,1.7
2013,14.6,5.3,13.2,16.5,4.2,2,1.7,2.6,1.6
2014,14.9,5.1,13.5,16.6,4.4,2,1.7,2.7,1.7
2015,16,5.2,14.2,15.4,4.7,2.1,1.8,3,1.8
2016,15.9,5.4,14.4,15,4.5,2.1,1.9,3,1.8
2017,16.3,5.2,14.3,15,4.4,2.1,1.9,2.8,1.8
2018,15.7,5.2,14.5,14.7,4.4,2.1,2.1,3,1.8
2019,13.5,5.3,14.8,14.8,4.5,2.3,2.2,3.2,2.1
2020,12.9,5,13.6,13.7,4.6,1.9,2,3,2.4
